trade_id,date,day_of_week,direction,entry_time_utc,exit_time_utc,entry_price,exit_price,sl_price,tp1_price,tp2_price,sl_pips,pnl_pips,pnl_usd,exit_reason,asian_range_pips,MAE_pips,MFE_pips,position_units
1,2025-07-02,Wednesday,long,2025-07-02 07:31:00+00:00,2025-07-02 12:00:00+00:00,143.9715834007003,144.1740245576335,143.5715834007003,144.3715834007003,144.7715834007003,40.0,20.24411569331903,378.9785880217709,HARD_CLOSE,56.800000000001205,19.158340070029567,27.641659929969364,269900
2,2025-07-09,Wednesday,short,2025-07-09 08:42:00+00:00,2025-07-09 12:00:00+00:00,146.63623719146022,146.7749754423665,147.03623719146023,146.23623719146022,145.8362371914602,40.0,-13.87382509062718,-260.79298129449046,HARD_CLOSE,45.40000000000077,14.576280853978574,9.723719146023768,275900
3,2025-07-24,Thursday,long,2025-07-24 09:01:00+00:00,2025-07-24 12:00:00+00:00,146.57543187467388,146.4740245576335,146.17543187467388,146.9754318746739,147.3754318746739,40.0,-10.14073170403833,-190.45802149604137,HARD_CLOSE,63.79999999999768,10.843187467386883,8.45681253261148,275100
4,2025-08-04,Monday,long,2025-08-04 07:33:00+00:00,2025-08-04 10:54:00+00:00,147.9936273120879,147.5936273120879,147.5936273120879,148.39362731208792,148.79362731208792,40.0,-40.00000000000057,-751.2519477927387,SL_FULL,63.99999999999864,39.96273120879152,9.637268791209408,277200
5,2025-08-06,Wednesday,long,2025-08-06 08:35:00+00:00,2025-08-06 11:30:00+00:00,147.84874157512536,147.44874157512535,147.44874157512535,148.24874157512536,148.64874157512537,40.0,-40.00000000000057,-745.7506847827303,SL_FULL,44.599999999999795,39.77415751253659,3.7258424874636376,274900
6,2025-08-13,Wednesday,short,2025-08-13 07:14:00+00:00,2025-08-13 12:00:00+00:00,147.6208982219933,147.2919754423665,147.6108982219933,147.22089822199328,146.82089822199328,40.0,36.44613898133997,674.2090657011565,TP1_PARTIAL,46.79999999999893,1.1101778006718632,43.98982219932748,272400
7,2025-08-18,Monday,short,2025-08-18 07:14:00+00:00,2025-08-18 11:55:00+00:00,147.13689822199328,147.53689822199328,147.53689822199328,146.73689822199327,146.33689822199327,40.0,-40.00000000000057,-741.2383025394206,SL_FULL,35.69999999999993,41.11017780067243,1.6898221993272955,273400
8,2025-08-21,Thursday,long,2025-08-21 09:37:00+00:00,2025-08-21 12:00:00+00:00,147.66161855978237,147.9180245576335,147.26161855978236,148.06161855978235,148.46161855978238,40.0,25.640599785111817,472.013829441426,HARD_CLOSE,32.49999999999886,2.1618559782382363,27.438144021763833,272300
9,2025-08-27,Wednesday,long,2025-08-27 10:01:00+00:00,2025-08-27 12:00:00+00:00,148.08302099454644,148.1340245576335,147.68302099454644,148.48302099454645,148.88302099454646,40.0,5.100356308705045,94.47780651933586,HARD_CLOSE,56.60000000000025,11.802099454644122,10.097900545355287,274400
10,2025-08-28,Thursday,short,2025-08-28 10:48:00+00:00,2025-08-28 12:00:00+00:00,146.91258540652578,146.9359754423665,147.31258540652578,146.51258540652577,146.11258540652577,40.0,-2.3390035840719747,-43.37797293962332,HARD_CLOSE,49.00000000000091,5.6414593474215735,10.458540652578565,272500
11,2025-09-03,Wednesday,long,2025-09-03 07:21:00+00:00,2025-09-03 07:48:00+00:00,149.08930660332808,148.68930660332808,148.68930660332808,149.4893066033281,149.8893066033281,40.0,-40.00000000000057,-743.5638952500631,SL_FULL,43.59999999999786,40.73066033280952,4.869339667192207,276400
12,2025-09-04,Thursday,long,2025-09-04 07:23:00+00:00,2025-09-04 12:00:00+00:00,148.3693664366902,148.3380245576335,147.9693664366902,148.7693664366902,149.1693664366902,40.0,-3.1341879056697053,-57.68131945935359,HARD_CLOSE,49.39999999999998,23.136643669019463,4.6633563309796955,273000
13,2025-09-11,Thursday,long,2025-09-11 09:03:00+00:00,2025-09-11 12:00:00+00:00,147.87843715505392,147.9580245576335,147.4784371550539,148.27843715505392,148.67843715505393,40.0,7.958740257959107,146.2564455431854,HARD_CLOSE,46.999999999999886,1.2437155053902416,11.456284494607871,271900
14,2025-09-15,Monday,short,2025-09-15 10:27:00+00:00,2025-09-15 12:00:00+00:00,147.25267114752032,147.4219754423665,147.65267114752032,146.8526711475203,146.4526711475203,40.0,-16.930429484617093,-311.45509090150415,HARD_CLOSE,35.20000000000039,22.532885247969148,0.4671147520326713,271200
15,2025-09-22,Monday,short,2025-09-22 07:27:00+00:00,2025-09-22 12:00:00+00:00,147.91051864399228,147.8499754423665,148.31051864399228,147.51051864399227,147.11051864399226,40.0,6.054320162576232,111.17674651087091,HARD_CLOSE,38.09999999999718,21.948135600771938,16.85186439922859,271500
16,2025-09-24,Wednesday,long,2025-09-24 08:31:00+00:00,2025-09-24 12:00:00+00:00,148.190759452585,148.4960245576335,147.790759452585,148.59075945258502,148.99075945258502,40.0,30.526510504847693,559.7704608747875,HARD_CLOSE,59.30000000000177,2.2759452585006557,33.024054741497366,272300
17,2025-10-02,Thursday,short,2025-10-02 08:50:00+00:00,2025-10-02 12:00:00+00:00,146.76516148183745,146.8039754423665,147.16516148183746,146.36516148183745,145.96516148183744,40.0,-3.881396052904052,-71.72985240895424,HARD_CLOSE,48.799999999999955,9.783851816254696,16.516148183745827,271300
18,2025-10-08,Wednesday,long,2025-10-08 08:58:00+00:00,2025-10-08 12:00:00+00:00,152.7759151202235,152.6860245576335,152.37591512022348,153.1759151202235,153.5759151202235,40.0,-8.989056258999994,-166.13908729624964,HARD_CLOSE,59.00000000000034,13.191512022348206,22.70848797764984,282200
19,2025-10-13,Monday,long,2025-10-13 07:10:00+00:00,2025-10-13 12:00:00+00:00,152.19499901381087,152.1000245576335,151.79499901381087,152.59499901381088,152.99499901381088,40.0,-9.497445617736844,-175.21254503986927,HARD_CLOSE,35.20000000000039,21.699901381086303,25.700098618912648,280600
20,2025-11-06,Thursday,short,2025-11-06 08:27:00+00:00,2025-11-06 13:00:00+00:00,153.68219775400064,153.62075331841723,154.08219775400065,153.28219775400063,152.88219775400063,40.0,6.144443558341095,113.15288104672376,HARD_CLOSE,36.7999999999995,9.480224599934672,15.119775400063418,282900
21,2025-11-13,Thursday,short,2025-11-13 08:58:00+00:00,2025-11-13 13:00:00+00:00,154.54708487977652,154.62175331841723,154.94708487977653,154.14708487977651,153.7470848797765,40.0,-7.466843864071393,-137.5328559435133,HARD_CLOSE,39.400000000000546,21.891512022347115,22.408487977651248,284800
22,2025-11-19,Wednesday,long,2025-11-19 08:30:00+00:00,2025-11-19 13:00:00+00:00,155.67076778126523,156.23824668158278,155.68076778126522,156.07076778126523,156.47076778126524,40.0,48.37394501587795,887.1351823401426,TP1_PARTIAL,36.69999999999902,11.376778126523844,62.52322187347659,286400
23,2025-11-27,Thursday,long,2025-11-27 09:06:00+00:00,2025-11-27 13:00:00+00:00,156.38443455978435,156.36624668158277,155.98443455978435,156.78443455978436,157.18443455978436,40.0,-1.8187878201587184,-33.778132696990916,HARD_CLOSE,58.19999999999936,13.343455978434804,1.9565440215643548,290400
24,2025-12-03,Wednesday,short,2025-12-03 11:25:00+00:00,2025-12-03 13:00:00+00:00,155.42906616485553,155.42875331841722,155.82906616485553,155.02906616485552,154.62906616485552,40.0,0.0312846438305314,0.5806917672831159,HARD_CLOSE,30.299999999999727,4.893383514448146,6.706616485553241,288500
25,2025-12-04,Thursday,short,2025-12-04 08:11:00+00:00,2025-12-04 13:00:00+00:00,154.89081177782597,154.6817533184172,155.29081177782598,154.49081177782597,154.09081177782596,40.0,20.90584594087659,388.5675316615632,HARD_CLOSE,52.00000000000102,16.718822217401907,38.18117778259875,287500
26,2025-12-08,Monday,long,2025-12-08 08:27:00+00:00,2025-12-08 13:00:00+00:00,155.45080224599937,155.54824668158278,155.05080224599936,155.85080224599938,156.25080224599938,40.0,9.744443558341231,181.48486781919473,HARD_CLOSE,45.69999999999936,7.780224599937924,20.91977540006269,289700
27,2026-01-05,Monday,short,2026-01-05 08:19:00+00:00,2026-01-05 13:00:00+00:00,156.84104010413853,156.66175331841723,157.24104010413853,156.44104010413852,156.04104010413852,40.0,17.928678572130252,335.0860675770697,HARD_CLOSE,37.60000000000048,15.99598958614763,37.30401041385392,292800
28,2026-01-14,Wednesday,short,2026-01-14 08:35:00+00:00,2026-01-14 13:00:00+00:00,158.93825842487465,158.5697533184172,158.92825842487466,158.53825842487464,158.13825842487464,40.0,38.42472635254039,721.4631547418865,TP1_PARTIAL,37.10000000000093,14.974157512534704,80.22584248746512,297700
29,2026-02-05,Thursday,long,2026-02-05 09:31:00+00:00,2026-02-05 12:47:00+00:00,157.28385269184034,156.88385269184033,156.88385269184033,157.68385269184034,158.08385269184035,40.0,-40.00000000000057,-756.4832069309217,SL_FULL,50.900000000001455,40.185269184033245,5.514730815966118,296700
30,2026-02-16,Monday,long,2026-02-16 09:33:00+00:00,2026-02-16 13:00:00+00:00,153.4917750877268,153.36224668158275,153.0917750877268,153.8917750877268,154.29177508772682,40.0,-12.952840614403272,-242.73551497381345,HARD_CLOSE,62.20000000000141,16.77750877267954,14.622491227319756,287400
31,2026-02-18,Wednesday,long,2026-02-18 09:43:00+00:00,2026-02-18 13:00:00+00:00,153.80339581480524,153.6742466815828,153.40339581480524,154.20339581480525,154.60339581480525,40.0,-12.914913322245525,-241.44934350446516,HARD_CLOSE,64.50000000000102,24.939581480524,5.460418519476207,287300
32,2026-02-23,Monday,long,2026-02-23 08:38:00+00:00,2026-02-23 13:00:00+00:00,154.6937433399752,154.89024668158277,154.29374333997518,155.0937433399752,155.4937433399752,40.0,19.65033416075812,365.6283353187968,HARD_CLOSE,61.299999999999955,6.774333997518056,35.22566600248069,288200
