time,equity,drawdown_usd,drawdown_pct,trade_number
2024-10-25 01:50:00+00:00,99729.55010669398,0.0,0.0,1
2024-11-01 02:00:00+00:00,99594.55136852362,134.99873817035404,0.13536483221465245,2
2024-11-06 21:06:00+00:00,98947.94668969221,781.6034170017665,0.7837229950055739,3
2024-11-06 22:04:00+00:00,99103.188025285,626.3620814089809,0.6280606708231191,4
2024-11-08 20:55:00+00:00,98447.67383995806,1281.8762667359115,1.2853525012040241,5
2024-11-08 20:57:00+00:00,97791.94473476603,1937.6053719279444,1.9428598342768315,6
2024-11-12 01:40:00+00:00,97949.28125747337,1780.268849220607,1.7850966411820934,7
2024-11-12 02:00:00+00:00,98004.03132568974,1725.5187810042407,1.730198099919456,8
2024-11-13 01:42:00+00:00,97513.32237694305,2216.227729750928,2.2222377694273505,9
2024-11-13 17:27:00+00:00,96869.74718805376,2859.8029186402127,2.867558226805095,10
2024-11-14 01:26:00+00:00,97078.4357803983,2651.1143262956757,2.6583037058318477,11
2024-11-14 20:05:00+00:00,96438.41120345458,3291.1389032393927,3.3000639225970874,12
2024-11-19 01:23:00+00:00,96704.08666567222,3025.463441021755,3.0336679928717354,13
2024-11-20 20:38:00+00:00,96060.9833061003,3668.566800593675,3.678515341409763,14
2024-11-26 17:50:00+00:00,95408.45475797636,4321.095348717616,4.332813438037938,15
2024-11-27 02:00:00+00:00,95682.24927586106,4047.3008308329154,4.0582764351217655,16
2024-12-05 01:34:00+00:00,95347.80463617806,4381.745470515918,4.393628032843005,17
2024-12-10 01:35:00+00:00,94939.23978477794,4790.31032191604,4.803300843923599,18
2024-12-17 18:32:00+00:00,94286.63458481974,5442.915521874238,5.4576758002530115,19
2024-12-18 02:00:00+00:00,94032.98219803881,5696.567908655168,5.7120160499679296,20
2024-12-24 21:43:00+00:00,94612.54535376595,5117.004752928027,5.13088121570155,21
2024-12-26 22:04:00+00:00,95020.95366168181,4708.596445012168,4.72136537262502,22
2025-01-03 02:00:00+00:00,94986.40479342134,4743.145313272631,4.756007931649403,23
2025-01-07 20:53:00+00:00,95265.16590956727,4464.38419712671,4.476490861886536,24
2025-01-07 21:51:00+00:00,94632.54680320506,5097.00330348892,5.110825525670152,25
2025-01-09 02:00:00+00:00,94512.64018088952,5216.909925804459,5.231057314730926,26
2025-01-12 22:04:00+00:00,94880.23597762149,4849.314129072489,4.862464659556302,27
2025-01-14 17:48:00+00:00,94248.08876317822,5481.461343515752,5.496326151728854,28
2025-01-14 21:34:00+00:00,94501.32705078676,5228.2230559072195,5.242401124154168,29
2025-01-15 22:04:00+00:00,94469.36632412752,5260.183782566455,5.274448522969307,30
2025-01-16 22:04:00+00:00,94585.37560486999,5144.174501823989,5.158124644421418,31
2025-01-30 00:54:00+00:00,94814.97052718046,4914.57957951352,4.927907099004999,32
2025-01-30 20:18:00+00:00,94165.90647754008,5563.643629153899,5.578731302008009,33
2025-02-02 22:04:00+00:00,95531.03387822877,4198.516228465203,4.209901903671972,34
2025-02-06 01:39:00+00:00,96027.88951022443,3701.660596469548,3.711698882136126,35
2025-02-11 19:33:00+00:00,95372.36243367857,4357.187673015404,4.36900363869479,36
2025-02-14 21:02:00+00:00,95634.97782371052,4094.572282983456,4.1056760795601175,37
2025-02-14 21:03:00+00:00,95897.61735435674,3831.932752337234,3.842324314345854,38
2025-02-18 02:00:00+00:00,95926.81367935936,3802.7364273346175,3.8130488137832006,39
2025-02-25 22:04:00+00:00,96195.27185693097,3534.2782497630105,3.5438626224443235,40
2025-02-26 01:00:00+00:00,95859.04291820202,3870.50718849196,3.881003357932692,41
2025-03-06 19:55:00+00:00,96718.38684479253,3011.1632619014417,3.019329034052595,42
2025-03-13 17:15:00+00:00,96040.4115502123,3689.1385564816737,3.6991428844659495,43
2025-03-14 18:33:00+00:00,95367.27378583749,4362.276320856487,4.374106086099435,44
2025-03-16 21:04:00+00:00,94694.92351824213,5034.626588451851,5.048279655393652,45
2025-03-18 01:30:00+00:00,94669.28637354958,5060.263733144398,5.073986323743324,46
2025-03-27 02:00:00+00:00,94666.63010898196,5062.919997712015,5.076649791657072,47
2025-03-28 00:57:00+00:00,94334.81839110084,5394.731715593138,5.409361327531985,48
2025-03-28 20:56:00+00:00,95102.28504067461,4627.265066019361,4.639813436507996,49
2025-04-01 02:00:00+00:00,94911.31860847086,4818.231498223118,4.831297737800296,50
2025-04-03 21:40:00+00:00,94226.34487721349,5503.205229480489,5.518129003482898,51
2025-04-16 02:00:00+00:00,94353.23370696344,5376.316399730538,5.3908960724066,52
2025-04-16 18:04:00+00:00,93650.33989313194,6079.210213562037,6.0956960169361,53
2025-04-22 00:59:00+00:00,93322.08141401148,6407.468692682494,6.424844678259927,54
2025-04-25 02:00:00+00:00,93252.3626115492,6477.187495144783,6.49475254647722,55
2025-04-30 19:35:00+00:00,94144.9091712138,5584.640935480173,5.599785549524227,56
2025-04-30 20:31:00+00:00,93446.35099528896,6283.199111405018,6.3002380986207625,57
2025-05-06 19:28:00+00:00,92745.01176287213,6984.538343821841,7.0034792459702775,58
2025-05-06 19:44:00+00:00,92043.67225765323,7685.877849040742,7.7067206668616635,59
2025-05-13 01:01:00+00:00,92367.95720701598,7361.5928996779985,7.381556310845003,60
2025-05-15 21:40:00+00:00,92816.39999945491,6913.150107239067,6.93189741640582,61
2025-05-16 00:58:00+00:00,93080.42329367752,6649.1268130164535,6.667158135079319,62
2025-05-20 18:12:00+00:00,92388.73599167305,7340.814115020927,7.360721177592279,63
2025-05-20 22:00:00+00:00,92451.02662592984,7278.523480764139,7.2982616215327685,64
2025-05-20 22:00:00+00:00,92464.86898909794,7264.681117596032,7.284381720186279,65
2025-05-21 17:20:00+00:00,91770.89981922565,7958.650287468321,7.980232818611829,66
2025-05-23 02:00:00+00:00,91851.43145703779,7878.118649656186,7.899482792440068,67
2025-05-23 18:19:00+00:00,91162.0627795648,8567.487327129173,8.59072092269883,68
2025-05-28 00:51:00+00:00,91296.10193553101,8433.448171162963,8.45631827491509,69
2025-05-28 01:05:00+00:00,90840.1766181235,8889.373488570476,8.913479985681606,70
2025-05-30 17:14:00+00:00,90158.13086928928,9571.419237404698,9.597375328741457,71
2025-05-30 17:14:00+00:00,89476.05209760278,10253.4980090912,10.281303784206052,72
2025-06-03 21:10:00+00:00,90254.3689923208,9475.181114373176,9.50087622398408,73
2025-06-04 21:56:00+00:00,90525.03699835077,9204.513108343206,9.229474211500916,74
2025-06-08 21:12:00+00:00,90701.64643626609,9027.903670427884,9.052385838269132,75
2025-06-11 18:13:00+00:00,90020.91334313975,9708.636763554226,9.73496496591793,76
2025-06-12 17:04:00+00:00,89345.28676712174,10384.263339572237,10.412423728436364,77
2025-06-13 18:55:00+00:00,89822.75752058065,9906.792586113326,9.933658153992184,78
2025-06-17 02:00:00+00:00,89650.52250415462,10079.027602539354,10.10636024303376,79
2025-06-17 18:48:00+00:00,88978.60643044046,10750.943676253519,10.780098440985448,80
2025-06-24 17:22:00+00:00,88310.80575266195,11418.744354032024,11.449710082734628,81
2025-06-26 22:00:00+00:00,88224.69501089778,11504.8550957962,11.5360543424571,82
2025-07-08 02:00:00+00:00,88341.29073957873,11388.259367115243,11.4191424256218,83
2025-07-09 01:38:00+00:00,88031.69679061823,11697.85331607575,11.729575941695316,84
2025-07-10 01:02:00+00:00,88202.37140258403,11527.178704109945,11.558438488670397,85
2025-07-10 22:00:00+00:00,87877.42667625118,11852.123430442793,11.884264410862174,86
2025-07-10 22:00:00+00:00,87743.02052455104,11986.529582142932,12.019035049611018,87
2025-07-23 20:01:00+00:00,88082.23771693619,11647.31238975779,11.678897956821332,88
2025-07-24 21:46:00+00:00,87422.24935549659,12307.300751197385,12.340676096533702,89
2025-07-24 21:46:00+00:00,86762.11671719479,12967.433389499187,13.002598904363047,90
2025-07-27 21:04:00+00:00,86111.84158842915,13617.70851826483,13.654637470735759,91
2025-08-08 02:00:00+00:00,86144.94811385861,13584.601992835363,13.621441165935376,92
2025-08-21 22:00:00+00:00,86067.42394998897,13662.12615670501,13.699175562397317,93
2025-08-28 17:04:00+00:00,85421.47886936746,14308.071237326512,14.346872338258082,94
2025-08-28 17:04:00+00:00,84775.5334391061,14954.016667587872,14.994569464706869,95
2025-09-02 18:45:00+00:00,84140.14553884615,15589.404567847829,15.631680430895123,96
2025-09-03 02:00:00+00:00,84424.84648589109,15304.703620802888,15.3462074224033,97
2025-09-10 22:00:00+00:00,84528.38641438539,15201.16369230859,15.242386710905526,98
2025-09-11 19:48:00+00:00,84798.84337535388,14930.706731340091,14.971196315802814,99
2025-09-11 20:35:00+00:00,85061.7498011593,14667.800305534678,14.707576931654238,100
2025-09-17 17:30:00+00:00,85355.11198253286,14374.438124161112,14.413419201011997,101
2025-09-18 01:50:00+00:00,85300.01790135384,14429.532205340132,14.468662688143025,102
2025-09-18 22:00:00+00:00,85351.2006668252,14378.349439868776,14.417341123554998,103
2025-09-24 20:49:00+00:00,84711.49679897673,15018.053307717244,15.058779761515451,104
2025-09-30 19:24:00+00:00,85194.09290221533,14535.457204478647,14.574874938198493,105
2025-10-01 20:57:00+00:00,85623.32477029087,14106.225336403106,14.144479064942935,106
2025-10-08 01:10:00+00:00,85796.5675492445,13932.982557449475,13.970766480489994,107
2025-10-09 18:51:00+00:00,85153.51384307498,14576.036263618997,14.615564040973883,108
2025-10-10 01:50:00+00:00,85047.39657211873,14682.153534575249,14.721969084256164,109
2025-10-14 01:08:00+00:00,84621.60990372594,15107.940202968035,15.148910415022488,110
2025-10-14 21:58:00+00:00,85228.61351073268,14500.936595961291,14.540260715552922,111
2025-10-15 18:24:00+00:00,86051.00451768239,13678.545589011585,13.715639521463622,112
2025-10-15 20:39:00+00:00,85405.19547471743,14324.354631976545,14.363199890756425,113
2025-10-21 16:54:00+00:00,85661.49522782069,14068.054878873285,14.106205095503604,114
2025-10-24 20:32:00+00:00,85912.13743276079,13817.412673933184,13.854883190740216,115
2025-10-28 19:39:00+00:00,85267.37286430306,14462.177242390913,14.501396253085266,116
2025-10-28 22:00:00+00:00,86033.53852303314,13696.011583660831,13.73315288097498,117
2025-10-30 02:00:00+00:00,85887.01704328037,13842.533063413604,13.88007170252388,118
2025-10-30 22:00:00+00:00,86048.0812500085,13681.468856685475,13.7185707165515,119
2025-10-31 02:00:00+00:00,85896.13579309957,13833.414313594403,13.870928224177245,120
2025-11-07 02:00:00+00:00,85719.46848196548,14010.081624728497,14.048074627570312,121
2025-11-18 22:04:00+00:00,86857.50617368735,12872.04393300663,12.906950767586627,122
2025-11-20 21:03:00+00:00,87161.61828941078,12567.931817283199,12.602013950566917,123
2025-11-21 21:53:00+00:00,87839.18459489178,11890.3655118022,11.922610198362966,124
2025-11-25 20:58:00+00:00,88765.53227164516,10964.017835048813,10.99375042133364,125
2025-11-26 01:33:00+00:00,88454.36956485367,11275.18054184031,11.30575694944753,126
2025-11-27 00:54:00+00:00,88803.28672388135,10926.263382812627,10.955893585324858,127
2025-12-02 18:50:00+00:00,89187.30555410903,10542.244552584947,10.570833360128974,128
2025-12-07 22:04:00+00:00,89476.43678243391,10253.113324260063,10.280918056173864,129
2025-12-07 22:04:00+00:00,89821.1638908133,9908.386215880673,9.935256105417455,130
2025-12-12 20:45:00+00:00,90033.93684573931,9695.613260954662,9.721906145753163,131
2025-12-16 18:55:00+00:00,90631.04085006505,9098.509256628924,9.12318289503466,132
2025-12-19 18:32:00+00:00,91033.84602623832,8695.70408045566,8.71928537845875,133
2025-12-19 20:16:00+00:00,91377.44460228046,8352.105504413514,8.37475502043091,134
2025-12-23 21:31:00+00:00,91626.24909147069,8103.301015223289,8.125275814995765,135
2025-12-24 21:30:00+00:00,91767.27652651188,7962.273580182096,7.983865937090654,136
2025-12-25 22:04:00+00:00,91875.66161744889,7853.888489245088,7.875186923878366,137
2025-12-26 02:00:00+00:00,91973.29377193784,7756.256334756137,7.777290007282935,138
2025-12-28 22:04:00+00:00,92094.69099002478,7634.859116669191,7.655563580203828,139
2025-12-28 22:04:00+00:00,92503.59813801966,7225.951968674315,7.24554754427725,140
2025-12-31 21:25:00+00:00,93281.10765835096,6448.442448343019,6.465929547906575,141
2026-01-07 22:04:00+00:00,93015.62939914556,6713.9207075484155,6.732127739838033,142
2026-01-07 22:04:00+00:00,92847.98230429742,6881.567802396559,6.900229465624211,143
2026-01-08 20:16:00+00:00,92211.03962913822,7518.510477555756,7.538899423001712,144
2026-01-08 22:04:00+00:00,92707.42248784704,7022.127618846935,7.04117045683494,145
2026-01-13 02:00:00+00:00,92910.88833482304,6818.661771870931,6.8371528444439,146
2026-01-13 22:04:00+00:00,92835.48682176601,6894.063284927965,6.912758833818529,147
2026-01-18 22:04:00+00:00,92202.47927631611,7527.0708303778665,7.547482990071806,148
2026-01-20 19:57:00+00:00,91511.58190740373,8217.968199290248,8.240253957325981,149
2026-02-04 20:20:00+00:00,90874.25764956787,8855.29245712611,8.879306532168675,150
2026-02-04 22:04:00+00:00,91212.2182803425,8517.331826351481,8.540429408574848,151
2026-02-05 19:38:00+00:00,91356.83798317256,8372.712123521414,8.39541752125023,152
2026-02-05 21:00:00+00:00,90672.1826953949,9057.36741129907,9.081929479887554,153
2026-02-05 22:04:00+00:00,90793.21028331493,8936.33982337905,8.96057368535069,154
2026-02-08 22:04:00+00:00,90112.89484573694,9616.655260957035,9.642734024838996,155
2026-02-11 00:59:00+00:00,90325.94657798443,9403.603528709544,9.429104531855662,156
2026-02-12 22:04:00+00:00,90525.16456363347,9204.385543060504,9.229346300282462,157
2026-02-24 20:59:00+00:00,89883.62486836486,9845.925238329117,9.872625744120594,158
2026-02-26 01:11:00+00:00,90049.59900499422,9679.951101699757,9.706201513336643,159
2026-02-26 02:00:00+00:00,90300.1880658504,9429.362040843582,9.454932896775066,160
2026-02-27 21:21:00+00:00,90862.56283882544,8866.987267868535,8.891033057285767,161
